長さ,市外局番,代表都市,覚え方,あいす,とるめ,補足
3,011,札幌,いい恋人は札幌市,10/21,,
4,011x,札幌,さっさと別れてきた広島,10/21,,
3,012,千歳,いつ食べるもの？千歳飴,11/21,,
4,0123,千歳,1・2・3で飛び立て！新千歳空港,11/21,,
4,0124,芦別,西別芦別,11/21,,
4,0125,滝川,ニコニコタッキーカワイイネ,11/21,,
4,0126,岩見沢,岩風呂岩見沢,11/21,,
3,013,函館,函館の遺産は縄文遺跡群,11/21,,
4,0133,石狩,さざれ石借りてくよ,11/21,,
4,0134,小樽,刺身の小樽,11/21,,
4,0135,余市,いざこざ起こるよ余り1,11/21,,
4,0136,ニセコ,さむいニセコのスキー場,11/21,,
4,0137,森,みんなの森,11/21,,
4,0138,函館,世界遺産はまだだよ五稜郭,11/21,,
4,0139,松前,サンキューを待つ前に,11/21,,
3,014,室蘭,美味しい～！室蘭カレーラーメン,10/21,,
4,0142,伊達,異質な伊達者,11/21,,
4,0143,室蘭,カレーラーメンの美味しさ,11/21,,
4,0144,苫小牧,獅子舞苫小牧,11/21,,
4,0145,日高,横に日高昆布,11/26,,
4,0146,浦河,白い襟の裏側は,11/21,,
3,015,網走,試されに行こう道東へ,11/21,,
4,0152,網走,ゴツい刑務所網走監獄,11/21,,
4,0153,根室,根菜根室,11/21,,
4,0154,釧路,こしろくしろ,11/21,,
4,0155,帯広,ゴーゴー帯広ばんえい競馬,11/21,,
4,0156,本別,コロコロ本(コミック)別冊,11/25,,
4,0157,北見,小麦の粉は北見産,11/25,,
4,0158,紋別,ゴーヤの紋章,11/25,,
3,016,稚内,いろいろわっかんない,11/25,,
4,0162,稚内,唯一無二もわっかんない,11/25,,
4,0163,天塩,霧散無塩,11/25,,
4,0164,留萌,虫に萌え,11/25,,
4,0165,名寄,なよろこび,11/25,,
4,0166,旭川,ろくろ首みたいキリンさん,11/27,,
4,0167,富良野,いろんな種類のラベンダー,11/25,,
3,017,青森,りんご青いな青森県,10/21,,
4,0172,弘前,夏前,11/27,,
4,0173,五所川原,波に乗れ揚げたい焼き,11/27,,
4,0174,今別,梨と今別れよう,11/27,,
4,0175,むつ,なごむつ,11/27,,
4,0176,十和田,南無は永遠だ,11/27,,
4,0177,青森,旧暦の7月7日はねぶた祭,11/27,,
4,0178,八戸,八戸,11/27,,
4,0179,三戸,泣くほどうまいニンニクサンド,11/27,,
3,018,秋田,18歳の秋田美人,10/21,,
4,0182,横手,パンツ横縞,11/27,,
4,0183,湯沢,婆さんの湯,11/27,,
4,0184,由利本荘,いやよユリに過保護,11/27,,
4,0185,男鹿,箱入りナマハゲ,11/27,,
4,0186,大館,ハムもおだてりゃ木に登る,11/27,,
4,0187,仙北,戦国の華、大戦,11/27,,
4,0188,秋田,はっぱの秋だ,11/27,,
3,019,岩手,岩で行くで！,11/28,,
4,0191,一関,一関,11/27,,
4,0192,大船渡,国々を渡る大船,11/27,,
4,0193,釜石,草の釜揚げ,11/27,,
4,0194,久慈,久慈,11/27,,
4,0195,二戸,救護だニトログリセリン,11/28,,
4,0196,盛岡,黒い盛岡,11/27,,
4,0197,北上,苦難の北上,11/27,,
4,0198,花巻,くっぱまき,11/27,,
3,022,宮城,鬼ずんだもちの宮城県,11/28,,
4,0220,登米,二重に留め具で挟む,11/28,,
4,0222,仙台,ずずずんだ,11/28,,
4,0223,岩沼,兄さん何も言わぬま,11/28,,
4,0224,白石,白石,11/28,,
4,0225,石巻,ニコイチの巻,11/28,,
4,0226,気仙沼,風呂の換気扇,11/28,,
4,0227,仙台,通なずんだ,11/28,,
4,0228,栗原,つやつやの栗だって,11/28,,
4,0229,大崎,古い肉の多さ,11/28,,
3,023,山形,鬼さくらんぼの山形県,12/03,,
4,0233,新庄,新庄三球三振じょう,12/03,,
4,0234,酒田,刺身とお酒,12/03,,
4,0235,鶴岡,亀から見たら 鶴はザコ,12/03,,
4,0236,山形,兄さん向こうの山が回転,12/03,,
4,0237,村山,みんなの村,12/03,,
4,0238,米沢,米沢牛さんぽ,12/03,,
3,024,福島,ふーしま県,11/28,,
4,0240,大熊,夜空のおおぐま座,12/03,,
4,0241,喜多方,お寿司行きたかった,12/03,,
4,0242,会津若松,あいつ若ぇのにしにてぇのか,12/03,,
4,0243,二本松,４・３・二本松,12/03,,
4,0244,相馬,獅子馬,12/03,,
4,0245,福島,横縞福島,12/03,,
4,0246,いわき,磐城城,12/03,,
4,0247,田村,推しな田村,12/03,,
4,0248,白河,シワカワ,12/03,,
4,0249,郡山,強く肯定,12/03,,
3,025,新潟,にいごた県,11/28,,
4,0250,五泉,五千,12/03,,
4,0252,新潟,新潟,12/03,,
4,0253,新潟,-,12/03,,
4,0254,新発田,新発田,12/03,,
4,0255,上越,ここを越えていけ,12/03,,
4,0256,三条,コンロ付き三畳,12/03,,
4,0257,柏崎,お菓子コーナー,12/03,,
4,0258,長岡,今夜は長いよ,12/03,,
4,0259,佐渡,時刻はトキ,12/03,,
3,026,長野,お風呂が長いの,12/05,,
4,0260,阿南,群れたアナコンダ,12/05,,
4,0261,大町,ロイヤルマッチ,12/05,,
4,0262,長野,お風呂に蛾なの！,12/05,,
4,0263,松本,無惨な松ぼっくり,12/05,,
4,0264,木曽,虫の木そっと,12/05,,
4,0265,飯田,むごいいだ,12/05,,
4,0266,諏訪,スワローク,12/05,,
4,0267,小諸,胸毛の子供,12/06,,
4,0268,上田,牢屋は上だ,12/05,,
4,0269,飯山,ロックはいいやまだ,12/06,,
3,027,群馬,ツナ軍艦,12/06,,
4,0270,伊勢崎,伊勢海老になれー,12/06,,
4,0272,前橋,真夏,12/06,,
4,0273,高崎,高菜さん,12/06,,
4,0274,富岡,製糸場,12/06,,
4,0276,太田,南無お陀仏,12/06,,
4,0277,桐生,ラッキリューセブン,12/06,,
4,0278,沼田,ナンパは沼だ,12/06,,
4,0279,渋川,泣く泣く渋柿,12/06,,
3,028,栃木,ツヤツヤとちおとめ,10/21,,
4,0280,古河,あの子がパレード,12/07,,
4,0281, 鉾田,パイを誇った,12/07,,
4,0282,栃木,とちおとめパンツ,12/07,,
4,0283,佐野,佐野,12/07,,
4,0284,足利,パシリの足,12/07,,
4,0285,小山,箱の山,12/07,,
4,0286,宇都宮,ハロウツノミヤ,12/07,,
4,0287,那須塩原,高原バナナ,12/07,,
4,0288,日光,パパもニッコリ,12/07,,
4,0289,鹿沼,野球馬鹿の沼,12/07,,
3,029,茨城,畑のお肉 水戸納豆,10/21,,
4,0292,水戸,水戸光圀,12/08,,
4,0293,高萩,高すぎに草,12/08,,
4,0294,常陸太田,つくし太く立つ,12/08,,
4,0295,常陸大宮,求婚は大見え切って,12/08,,
4,0296,笠間,黒い傘間に合ってます,12/08,,
4,0297,坂東,苦難のバンド,12/08,,
4,0298,土浦,裏側は吸盤,12/08,,
4,0299,鹿嶋,救急箱貸しますか？,12/08,,
3,03 ,東京,東京03,10/21,,
4,03xx,狛江,三コマ漫画,12/08,,
3,042,八王子,四二が八王子,12/09,,
4,0420,所沢,それがつれぇ所沢,12/08,,
4,0422,武蔵野,にんにん武者修行,12/08,,
4,0423,国分寺,兄さんが国を分ける,12/09,,
4,0424,西東京,西東京,12/08,,
4,0425,立川,濁ったちいかわ,12/08,,
4,0426,八王子,王子の任務,12/08,,
4,0427,相模原,横綱相撲,12/08,,
4,0428,青梅,つっぱい梅干し,12/08,,
4,0429,飯能,肉と飯,12/08,,
3,043,千葉,,12/10,,
4,0432,千葉,札で千羽鶴,12/10,,
4,0433,千葉,,,,
4,0434,千葉,,,,
4,0436,市原,腹だすと寒い,12/10,,
4,0438,木更津,砂漠は更地,12/10,,
4,0439,君津,キミク,12/09,,
3,044,川崎,指定都市川崎,,,
4,044x,川崎,指定都市川崎,,,
3,045,横浜,ヨコ,10/21,,
4,045x,横浜,ヨコ,10/20,,
3,046,鎌倉,無敵のお城 神奈川県,10/21,,
4,0460,箱根,,,,
4,0462,厚木,,,,
4,0463,平塚,,,,
4,0464,厚木,,,,
4,0465,小田原,酷い包囲だ小田原征伐,,,
4,0466,藤沢,ろくろっふじ,,,
4,0467,鎌倉,鎌倉武士の胸騒ぎ,,,
4,0468,横須賀,海軍の牢屋,,,
3,047,千葉,,,,
4,0470,鴨川,鴨になれよ,,,
4,0471,柏,お菓子はないのだなぁ,,,
4,0473,市川,NASA天の川,,,
4,0474,船橋,ふなっしー,,,
4,0475,茂原,モナコ腹,,,
4,0476,成田,なろう飛行機,,,
4,0477,船橋,らっきーせぶんなっしー,,,
4,0478,香取,納屋の香り取り,,,
4,0479,銚子,調子に乗るなくそやろう泣くな！,,,
3,048,埼玉,,,,
4,0480,久喜,パリパリクッキー,,,
4,0482,川口,,,,
4,0483,川口,,,,
4,0484,川口,川口詰みよ,,,
4,0485,熊谷,子熊,,,
4,0486,さいたま,,,,
4,0487,さいたま,,,,
4,0488,さいたま,ハローバイバイさいたま,,,
4,0489,草加,はっくしょん草,,,
3,049,秩父,,,,
4,0492,川越,小国川越,,,
4,0493,東松山,待つしぐさやま,,,
4,0494,秩父,櫛通す父,,,
4,0495,本庄,中古本女子,,,
4,0499,大島,クック大島行き,,,
3,052,名古屋,,,,
4,052x,名古屋,コツコツと真逆名古屋人,,,
3,053,浜松,,,,
4,0531,田原,田←サイコロ,,,
4,0532,豊橋,小作人も富む端っこ,,,
4,0533,豊川,小耳にヘップバーン,,,
4,0534,浜松,兵公ご察し,,,
4,0535,浜松,兵公ざぁこ♡,,,
4,0536,設楽,スベルバナナマン,,,
4,0537,掛川,みんな掛けそば,,,
4,0538,磐田,サッカーサンバジュビロ,,,
4,0539,浜松,三来だよー,,,
3,054,静岡,,,,
4,0542,静岡,42おか,,,
4,0543,#VALUE!,#VALUE!,,,
4,0544,富士宮,自死不死の都,,,
4,0545,富士,千代の富士四股,,,
4,0546,静岡,SIM謳歌,,,
4,0547,島田,シナの島だ,,,
4,0548,牧之原,マキの小ジワ,,,
4,0549,静岡,よく出る静岡,,,
3,055,甲府,こここ甲府市,,,
4,0550,御殿場,510場,,,
4,0551,韮崎,551のニラマン,,,
4,0552,甲府,午後に52,,,
4,0553,山梨,ゴミ山無し,,,
4,0554,大月,今宵の大きい月,,,
4,0555,富士吉田,よ死ゴーゴーゴー,,,
4,0556,富士川,富士は日本の心,,,
4,0557,熱海,暑海ココナッツ,,,
4,0558,下田,黒船怖い下田ココア,,,
4,0559,沼津,コクのある沼っすね,,,
3,056,愛知,,,,
4,0561,瀬戸,セト6位,,,
4,0562,知多,チーターvsむつごろう,,,
4,0563,西尾,小麦砂糖八橋,,,
4,0564,岡崎,先殺しておかんと,,,
4,0565,豊田,コロコロトヨタ,,,
4,0566,刈谷,メリーハローサタン高浜,,,
4,0567,津島,コロナになっつしまった,,,
4,0568,春日井,ハルヒ牢屋行き,,,
4,0569,半田,無垢なパンダ,,,
3,057,岐阜,,,,
4,0572,多治見,72は地味,,,
4,0573,恵那,エナコナミ,,,
4,0574,可児,やまなししかご,,,
4,0575,郡上,群青の泣く子,,,
4,0576,下呂,コナロゲロ,,,
4,0577,高山,77宝の山,,,
4,0578,飛騨,オコな矢被弾,,,
3,058,一宮,,,,
4,0581,本巣,事後パイを戻すし,,,
4,0582,岐阜,小屋に寄付,,,
4,0583,岐阜,寄付後破産,,,
4,0584,大垣,橋の大垣壊しちゃえオオガキ,,,
4,0585,揖斐川,奴イビリ,,,
4,0586,一宮,はろーみや,,,
4,0587,稲沢,バナナ稲作,,,
3,059,三重,,,,
4,0592,津,苦痛,,,
4,0593,四日市,四日坊主のコックさん,10/21,,
4,0594,桑名,こ桑名市無双,,,
4,0595,伊賀,忍者の国語,,,
4,0596,伊勢,黒伊勢神宮,,,
4,0597,尾鷲,大雨救難信号,,,
4,0598,松阪,松坂牛クッパ,,,
4,0599,志摩,鹿嶋志摩,,,
3,06 ,大阪,,,,
2,06,尼崎,,,,
3,072,堺,,,,
4,0721,富田林,家政婦林はみたなにい！,,,
4,0722,堺,世界津々浦々,,,
4,0723,堺,,,,
4,0724,岸和田,にしわだ,,,
4,0725,和泉,わいずみ！ニコッ,,,
4,0726,茨木,イバラで吊ろう,,,
4,0727,池田,ツナ缶池田,,,
4,0728,寝屋川,寝ながら通夜,,,
4,0729,柏原,菓子な生肉,,,
3,073,和歌山,◎なミカンの 和歌山県,,,
4,0734,和歌山,三枝の和歌,,,
4,0735,新宮,竜宮サンゴ,,,
4,0736,橋本,橋橋下寒し,,,
4,0737,有田,並な有田みかん,,,
4,0738,御坊,ごぼうサンバ,,,
4,0739,田辺,鴨ねぎなべみく,,,
3,074,奈良,◎なシカたちの奈良県,,,
4,0740,高島,たか40たか,,,
4,0742,奈良,鹿にさよなら,,,
4,0743,生駒,駒予算不足でも生駒,,,
4,0744,桜井,夜桜いい,,,
4,0745,葛城,葛シコ富嶽46景,,,
4,0746,吉野,白すぎ,,,
4,0747,五條,五条:死なない,,,
4,0748,近江八幡,シワトリ製薬会社,,,
4,0749,彦根,欲張りひこにゃん,,,
3,075,京都,女子(おなご)の京都,,,
4,075x,京都,向こうに長い髪の柔肌少女,,,
3,076,石川,,,,
4,0761,小松,ローピンを待つな,,,
4,0762,金沢,むに金沢山,,,
4,0763,砺波市,ろなみ十並み,,,
4,0764,富山,虫の山,,,
4,0765,魚津,サカナムコプロ,,,
4,0766,高岡,ロロ→高 おかしいやろ！,,,
4,0767,七尾,七尾七,,,
4,0768,輪島,8ま,,,
3,077,大津,,,,
4,0770,小浜,オバマハゼロ,,,
4,0771,亀岡,亀が無い頭おかしい,,,
4,0772,宮津,みなつ,,,
4,0773,福知山,73チサン知山,,,
4,0774,宇治,ウ4,,,
4,0775,大津,名古大っ！,,,
4,0776,福井,なむご冥福い,,,
4,0778,鯖江,はずれサーバーへ,,,
4,0779,大野,なくなオーノー,,,
3,078,神戸,◎なハーバー 神戸港,,,
4,078x,神戸,,,,
3,079,姫路,◎なクイーンの姫路城,,,
4,0790,加西,火災保険くれ！,,,
4,0791,たつの,悔いは先にたつの？,,,
4,0792,姫路,クイーン姫路の国,,,
4,0793,姫路,文化無くさないで,,,
4,0794,加古川,棋士の町加古川,,,
4,0795,丹波,なくこも丹波,,,
4,0795,三田,要救護サンタ,,,
4,0796,豊岡,なー黒いタピオカなくシックス,,,
4,0797,宝塚,無くなった宝塚,,,
4,0798,西宮,クッパ城西宮,,,
4,0799,淡路,99は島,,,
3,082,広島,,,,
4,0820,柳井,柳井でも鰻釣れ,,,
4,0822,広島,パンツにしま,,,
4,0823,呉,兄さんをくれ！,,,
4,0824,三次,にじさんじ,,,
4,0824,東広島,西に東広島,,,
4,0825,広島,初恋広場,,,
4,0826,安芸高田,積むゲー高校,,,
4,0827,岩国,岩のりツナマヨ,,,
4,0828,広島,パンツはひま,,,
4,0829,廿日市,廿日市肉特売でパニック,,,
3,083,山口,闇で危険な山口県,10/21,,
4,0832,下関,けいサツ関,,,
4,0833,下松,さんざん嘘松,,,
4,0834,周南,馬刺周知な,,,
4,0835,防府,ザコを防ぐ抱負,,,
4,0836,宇部,挟む→うげ,,,
4,0837,長門,みんなの長門,,,
4,0838,萩,破産は義,,,
4,0839,山口,サンクチ山口,,,
3,084,福山,,,,
4,0845,尾道,横の道シコの道,,,
4,0846,竹原,城ピストル,,,
4,0847,府中,世直し中,,,
4,0848,三原,,,,
4,0849,福山,よくふくやま,,,
3,085,鳥取島根,,,,
4,0851,隠岐の島,箱入り奥の島,,,
4,0852,松江,はとこに末裔,,,
4,0853,出雲,古参出雲そば/イズゴミソバ,,,
4,0854,安来,おこしやす,,,
4,0855,浜田,ゴゴゴリラ浜田,,,
4,0856,益田,M•D•スフィ,,,
4,0857,鳥取,粉っぽい砂丘,,,
4,0858,倉吉,ゴーヤの倉ヨシ！,,,
4,0859,米子,まいごで号泣,,,
3,086,岡山,HELLO! 大都市岡山県,10/21,,
4,0862,岡山,むにからうまれたむにたろう,,,
4,0863,玉野,玉に無残,,,
4,0864,倉敷,64らしきもの,,,
4,0865,笠岡,,,,
4,0866,高梁,,,,
4,0867,新見,むなしいみ,,,
4,0868,津山,はむはーつ山,,,
4,0869,備前,ロック装備前,,,
3,087,香川,,,,
4,0875,観音寺,泣く子に観念寺,,,
4,0877,丸亀,丸亀バナナうどん,,,
4,0878,高松,花は高松,,,
4,0879,さぬき,たぬきは泣くぞ,,,
3,088,徳島高知,,,,
4,0880,四万十,晴れて気温が四万十,,,
4,0883,阿波,ババさん阿波踊り,,,
4,0884,阿南,はしっこあはん,,,
4,0885,小松島,母は子待つ島,,,
4,0886,徳島,特売ハム,,,
4,0887,室戸,母なる教室,,,
4,0888,高知,はははは高知,,,
4,0889,須崎,はやくするさき,,,
3,089,愛媛,野球拳は愛媛県,10/21,,
4,0892,久万高原町,クズマン高原,,,
4,0893,大洲,やくざ多すぎ,,,
4,0894,八幡浜,白紙に戻せよ八万円,,,
4,0895,宇和島,吐くことうわぁぁ,,,
4,0896,四国中央,四黒中央,,,
4,0897,新居浜,新居には来んな,,,
4,0898,今治,ぱくぱく今治タオル,,,
4,0899,松山,救急車待つやま,,,
3,092,福岡,,,,
4,0920,対馬,フレーフレーうま！,,,
4,092x,福岡,福岡のお国,,,
3,093,北九州,キタクーサー,,,
4,0930,行橋,去れ！去ってゆくはし,,,
4,093x,北九州,,,,
3,094,久留米,,,,
4,0940,宗像,しゅうぜろ,,,
4,0942,久留米,四谷に来るめ,,,
4,0943,八女,死産やめて！,,,
4,0944,大牟田,牟田口死死,,,
4,0946,朝倉,白い涼子,,,
4,0947,田川,したがわ,,,
4,0948,飯塚,めしは飯塚,,,
4,0949,直方,四角直方,,,
3,095,佐賀長崎,,,,
4,0950,平戸,平均50平米,,,
4,0952,佐賀,こんにさが,,,
4,0954,武雄,ゴシゴシ洗うよ武雄くん,,,
4,0955,伊万里,伊万←ココ,,,
4,0956,佐世保,通信会社ドットコム,,,
4,0957,島原,コナン灰原粉っぽい,,,
4,0958,長崎,こんやは長崎で,,,
4,0959,西海,国際会議,,,
3,096,熊本,まっくろくまモン 熊本県,10/21,,
4,0962,熊本,むつごろうvs熊,,,
4,0963,熊本,,,,
4,0964,宇土,うどの虫,,,
4,0965,八代,八代目の婿,,,
4,0966,水俣,クロム水,,,
4,0967,阿蘇,胸板から阿蘇水,,,
4,0968,山鹿,牢屋は山のようなバカ,,,
4,0969,天草,天草四郎百合,,,
3,097,大分,苦難が多いた 大分県,10/21,,
4,0972,佐伯,夏の駅,,,
4,0973,日田,NASAで宇宙の日だ,,,
4,0974,竹田,ナヨナヨな竹だ,,,
4,0975,大分,だいぶ泣く子,,,
4,0977,別府,ナナ別府温泉,,,
4,0978,豊後高田,ナッパごった煮,,,
4,0979,中津,なくつなかないっ！,,,
3,098,宮崎,奥歯に挟まる宮崎地鶏,,,
4,0980,名護,パレードの護衛,,,
4,0982,延岡,パンツ伸ばすよ,,,
4,0983,西都,破産のサイト、バッサイト,,,
4,0984,小林,くばやし,,,
4,0985,宮崎,ダンボール箱宮殿,,,
4,0986,都城,ハムの都,,,
4,0987,日南,にちバナナん。ヒガンバナン,,,
4,0988,那覇,なははは,,,
4,0989,那覇,#VALUE!,,,
3,099,鹿児島,,,,
4,0991,十島,9＋1島,,,
4,0992,鹿児島,児童の傀儡馬子にも靴,,,
4,0993,指宿,いぶくさ,,,
4,0994,志布志,くしぶし,,,
4,0994,鹿屋,しかのや,,,
4,0995,霧島,急で濃い霧,,,
4,0996,出水,黒い水が出た！,,,
4,0997,西之表,うらおもて,,,
,,,,166,0,
